preset,model,value,timeouts,trials
"completed","glm-5.3","14","0","20"
"completed","deepseek-v4-flash","12","0","20"
"completed","claude-sonnet-5","12","0","20"
"completed","deepseek-v4-pro-0813","11","0","20"
"completed","kimi-k3","10","0","20"
"completed","glm-5.3-flash","9","0","20"
"total-cost","claude-sonnet-5","40.98200640000002","0","20"
"total-cost","deepseek-v4-pro-0813","8.465760072","0","20"
"total-cost","kimi-k3","7.015688300000002","0","20"
"total-cost","glm-5.3","4.431021339999999","0","20"
"total-cost","deepseek-v4-flash","0.3867383240000001","0","20"
"total-cost","glm-5.3-flash","0.07868272099999998","0","20"
"median-time","deepseek-v4-flash","261.109","0","20"
"median-time","claude-sonnet-5","197.4555","0","20"
"median-time","glm-5.3","170.38049999999998","0","20"
"median-time","kimi-k3","165.2735","0","20"
"median-time","deepseek-v4-pro-0813","140.751","0","20"
"median-time","glm-5.3-flash","111.104","0","20"
"slow-timeouts","deepseek-v4-flash","10","4","20"
"slow-timeouts","claude-sonnet-5","9","5","20"
"slow-timeouts","deepseek-v4-pro-0813","7","3","20"
"slow-timeouts","glm-5.3-flash","6","2","20"
"slow-timeouts","kimi-k3","6","2","20"
"slow-timeouts","glm-5.3","5","1","20"
